SH.CON.1524.FE.ZS,Health: Disease prevention,,"Condom use, population ages 15-24, female (% of females ages 15-24)",,Condom use is the percentage of the population ages 15-24 who used a condom at last intercourse in the last 12 months.,,,Annual,,,,,Weighted average,,,,Demographic and Health Surveys by ICF International.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH.CON.1524.MA.ZS,Health: Disease prevention,,"Condom use, population ages 15-24, male (% of males ages 15-24)",,Condom use is the percentage of the population ages 15-24 who used a condom at last intercourse in the last 12 months.,,,Annual,,,,,Weighted average,,,,Demographic and Health Surveys by ICF International.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH.H2O.SAFE.RU.ZS,Health: Disease prevention,,"Improved water source, rural (% of rural population with access)",,"Access to an improved water source refers to the percentage of the population using an improved drinking water source. The improved drinking water source includes piped water on premises (piped household water connection located inside the userﾒs dwelling, plot or yard), and other improved drinking water sources (public taps or standpipes, tube wells or boreholes, protected dug wells, protected springs, and rainwater collection).",,,Annual,,,,,Weighted average,"The data on access to an improved water source measure the percentage of the population with ready access to water for domestic purposes.
SH.H2O.SAFE.UR.ZS,Health: Disease prevention,,""Improved water source, urban (% of urban population with access)",,"Access to an improved water source refers to the percentage of the population using an improved drinking water source. The improved drinking water source includes piped water on premises (piped household water connection located inside the userﾒs dwelling, plot or yard), and other improved drinking water sources (public taps or standpipes, tube wells or boreholes, protected dug wells, protected springs, and rainwater collection).",,,Annual,,,,,Weighted average,"The data on access to an improved water source measure the percentage of the population with ready access to water for domestic purposes.
SH.H2O.SAFE.ZS,Health: Disease prevention,,Improved water source (% of population with access),,""Access to an improved water source refers to the percentage of the population using an improved drinking water source. The improved drinking water source includes piped water on premises (piped household water connection located inside the userﾒs dwelling, plot or yard), and other improved drinking water sources (public taps or standpipes, tube wells or boreholes, protected dug wells, protected springs, and rainwater collection).",,,Annual,,,,,Weighted average,"The data on access to an improved water source measure the percentage of the population with ready access to water for domestic purposes.
SH.HIV.ARTC.ZS,Health: Disease prevention,,Antiretroviral therapy coverage (% of people living with HIV),,Antiretroviral therapy coverage indicates the percentage of all people living with HIV who are receiving antiretroviral therapy.,,,Annual,,,,,Weighted average,The limited availability of data on health status is a major constraint in assessing the health situation in developing countries. Surveillance data are lacking for many major public health concerns. Estimates of prevalence and incidence are available for some diseases but are often unreliable and incomplete. National health authorities differ widely in capacity and willingness to collect or report information.,,,UNAIDS estimates.,,""Data on HIV are from the Joint United Nations Programme on HIV/AIDS (UNAIDS). Changes in procedures and assumptions for estimating the data and better coordination with countries have resulted in improved estimates of HIV and AIDS. For example, improved software was used to model the course of HIV epidemics and their impacts, making full use of information on HIV prevalence trends from surveillance data as well as survey data. The software explicitly includes the effect of antiretroviral therapy when calculating HIV incidence and models reduced infectivity among people receiving antiretroviral therapy, which is having a larger impact on HIV prevalence and allowing HIV-positive people to live longer. The software also allows for changes in urbanization over time - important because prevalence is higher in urban areas and because many countries have seen rapid urbanization over the past two decades.
SH.IMM.IDPT,Health: Disease prevention,,""Immunization, DPT (% of children ages 12-23 months)",,"Child immunization measures the percentage of children ages 12-23 months who received vaccinations before 12 months or at any time before the survey. A child is considered adequately immunized against diphtheria, pertussis (or whooping cough), and tetanus (DPT) after receiving three doses of vaccine.",,,Annual,,,,,Weighted average,In many developing countries lack of precise information on the size of the cohort of one-year-old children makes immunization coverage difficult to estimate from program statistics.,,,WHO and UNICEF (http://www.who.int/immunization/monitoring_surveillance/en/).,,"Governments in developing countries usually finance immunization against measles and diphtheria, pertussis (whooping cough), and tetanus (DTP) as part of the basic public health package. The data shown here are based on an assessment of national immunization coverage rates by the WHO and UNICEF. The assessment considered both administrative data from service providers and household survey data on children's immunization histories. Based on the data available, consideration of potential biases, and contributions of local experts, the most likely true level of immunization coverage was determined for each year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH.IMM.MEAS,Health: Disease prevention,,"Immunization, measles (% of children ages 12-23 months)",,Child immunization measures the percentage of children ages 12-23 months who received vaccinations before 12 months or at any time before the survey. A child is considered adequately immunized against measles after receiving one dose of vaccine.,,,Annual,,,,,Weighted average,In many developing countries lack of precise information on the size of the cohort of one-year-old children makes immunization coverage difficult to estimate from program statistics.,,,WHO and UNICEF (http://www.who.int/immunization/monitoring_surveillance/en/).,,"Governments in developing countries usually finance immunization against measles and diphtheria, pertussis (whooping cough), and tetanus (DTP) as part of the basic public health package. The data shown here are based on an assessment of national immunization coverage rates by the WHO and UNICEF. The assessment considered both administrative data from service providers and household survey data on children's immunization histories. Based on the data available, consideration of potential biases, and contributions of local experts, the most likely true level of immunization coverage was determined for each year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH.MLR.NETS.ZS,Health: Disease prevention,,Use of insecticide-treated bed nets (% of under-5 population),,Use of insecticide-treated bed nets refers to the percentage of children under age five who slept under an insecticide-treated bednet to prevent malaria.,,,Annual,,,,,Weighted average,,,,"UNICEF, State of the World's Children, Childinfo, and Demographic and Health Surveys by ICF International.",,"Malaria is endemic to the poorest countries in the world, mainly in tropical and subtropical regions of Africa, Asia, and the Americas. Insecticide-treated nets, properly used and maintained, are one of the most important malaria-preventive strategies to limit human-mosquito contact.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH.MLR.TRET.ZS,Health: Disease prevention,,Children with fever receiving antimalarial drugs (% of children under age 5 with fever),,Malaria treatment refers to the percentage of children under age five who were ill with fever in the last two weeks and received any appropriate (locally defined) anti-malarial drugs.,,,Annual,,,,,Weighted average,,,,"UNICEF, State of the World's Children, Childinfo, and Demographic and Health Surveys by ICF International.",,"Malaria is endemic to the poorest countries in the world, mainly in tropical and subtropical regions of Africa, Asia, and the Americas. Prompt and effective treatment of malaria is a critical element of malaria control. It is vital that sufferers, especially children under age 5, start treatment within 24 hours of the onset of symptoms, to prevent progression - often rapid - to severe malaria and death. Data on malaria are from national-level surveys, including Multiple Indicator Cluster Surveys, Demographic and Health Surveys, and Malaria Indicator Surveys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH.STA.ACSN,Health: Disease prevention,,Improved sanitation facilities (% of population with access),,"Access to improved sanitation facilities refers to the percentage of the population using improved sanitation facilities. The improved sanitation facilities include flush/pour flush (to piped sewer system, septic tank, pit latrine), ventilated improved pit (VIP) latrine, pit latrine with slab, and composting toilet.",,,Annual,,,,,Weighted average,"For indicators that are from household surveys, the year refers to the survey year. For more information, consult the original sources. Estimates are generated through analysis of survey data and linear regression of data points. Coverage estimates are updated every two years.
SH.STA.ACSN.RU,Health: Disease prevention,,""Improved sanitation facilities, rural (% of rural population with access)",,"Access to improved sanitation facilities refers to the percentage of the population using improved sanitation facilities. The improved sanitation facilities include flush/pour flush (to piped sewer system, septic tank, pit latrine), ventilated improved pit (VIP) latrine, pit latrine with slab, and composting toilet.",,,Annual,,,,,Weighted average,"For indicators that are from household surveys, the year refers to the survey year. For more information, consult the original sources. Estimates are generated through analysis of survey data and linear regression of data points. Coverage estimates are updated every two years.
SH.STA.ACSN.UR,Health: Disease prevention,,""Improved sanitation facilities, urban (% of urban population with access)",,"Access to improved sanitation facilities refers to the percentage of the population using improved sanitation facilities. The improved sanitation facilities include flush/pour flush (to piped sewer system, septic tank, pit latrine), ventilated improved pit (VIP) latrine, pit latrine with slab, and composting toilet.",,,Annual,,,,,Weighted average,"For indicators that are from household surveys, the year refers to the survey year. For more information, consult the original sources. Estimates are generated through analysis of survey data and linear regression of data points. Coverage estimates are updated every two years.
SH.STA.ARIC.ZS,Health: Disease prevention,,ARI treatment (% of children under 5 taken to a health provider),,""Children with acute respiratory infection (ARI) who are taken to a health provider refers to the percentage of children under age five with ARI in the last two weeks who were taken to an appropriate health provider, including hospital, health center, dispensary, village health worker, clinic, and private physician.",,,Annual,,,,,Weighted average,,,,"UNICEF, State of the World's Children, Childinfo, and Demographic and Health Surveys by ICF International.",,Acute respiratory infection continues to be a leading cause of death among young children. Data are drawn mostly from household health surveys in which mothers report on number of episodes and treatment for acute respiratory infection.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH.STA.ORCF.ZS,Health: Disease prevention,,Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),,"Children with diarrhea who received oral rehydration and continued feeding refer to the percentage of children under age five with diarrhea in the two weeks prior to the survey who received either oral rehydration therapy or increased fluids, with continued feeding.",,,Annual,,,,,Weighted average,,,,"UNICEF, State of the World's Children, Childinfo, and Demographic and Health Surveys by ICF International.",,"Most diarrhea-related deaths are due to dehydration, and many of these deaths can be prevented with the use of oral rehydration salts at home. However, recommendations for the use of oral rehydration therapy have changed over time based on scientific progress, so it is difficult to accurately compare use rates across countries. Until the current recommended method for home management of diarrhea is adopted and applied in all countries, the data should be used with caution. Also, the prevalence of diarrhea may vary by season. Since country surveys are administered at different times, data comparability is further affected.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH.STA.ORTH,Health: Disease prevention,,Diarrhea treatment (% of children under 5 who received ORS packet),,Percentage of children under age 5 with diarrhea in the two weeks preceding the survey who received oral rehydration salts (ORS packets or pre-packaged ORS fluids).,,,Annual,,,,,Weighted average,,,,"UNICEF, State of the World's Children, Childinfo, and Demographic and Health Surveys by ICF International.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH.TBS.CURE.ZS,Health: Disease prevention,,Tuberculosis treatment success rate (% of registered cases),,"Tuberculosis treatment success rate is the percentage of new, registered smear-positive (infectious) cases that were cured or in which a full course of treatment was completed.",,,Annual,,,,,Weighted average,,,,"World Health Organization, Global Tuberculosis Control Report.",,"Tuberculosis is one of the main causes of adult deaths from a single infectious agent in developing countries. Data on the success rate of tuberculosis treatment are provided for countries that have submitted data to the WHO. The treatment success rate for tuberculosis provides a useful indicator of the quality of health services. A low rate suggests that infectious patients may not be receiving adequate treatment. An important complement to the tuberculosis treatment success rate is the case detection rate, which indicates whether there is adequate coverage by the recommended case detection and treatment strategy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
